id,Time (ns),"Sensor 1 WE , (V)","Sensor 1 AE, (V)","Sensor 2 WE, (V)","Sensor 2 AE, (V)","Sensor 3 WE, (V) ","Sensor 3 AE, (V)","Sensor 4 WE, (V) ","Sensor 4 AE, (V)",
0,0.043424119,0.022475919,0.010964841,2.455900185,1.218097872,4.938539816,2.647499047,5.310988456,2.647499047,
1,0.044022556,0.02248587,0.010972595,2.51484229,1.219460945,4.936428396,2.935136679,5.846061335,2.935136679,
0,0.044713172,0.022529885,0.010991457,1.909448385,0.925344447,4.769420633,2.541711319,5.638603815,2.541711319,
1,0.044772988,0.02255408,0.011001713,2.570399459,1.22685009,4.770196608,2.594672741,5.846327507,2.594672741,
0,0.045432344,0.022689623,0.011081883,2.652267456,1.349800825,4.92376497,2.838433972,5.859254138,2.838433972,
1,0.046141154,0.022727264,0.011091877,1.932444829,0.934340704,5.607333782,3.182367387,6.264781144,3.182367387,
0,0.046397135,0.022755288,0.011102502,1.782340664,0.866559821,4.739035319,2.580771467,5.253756448,2.580771467,
1,0.046561425,0.022761035,0.011104782,2.375876453,0.888178164,5.461840181,3.11960573,6.115696939,3.11960573,
0,0.047139993,0.022806148,0.011119914,3.130822706,1.588415896,5.300734322,3.113834352,5.621439645,3.113834352,
1,0.047569268,0.022834676,0.011127685,2.414287407,1.253372772,5.23927881,3.017654935,6.31246852,3.017654935,
0,0.048353132,0.022892954,0.011178388,2.618080247,1.075920988,4.72223985,3.062812671,5.570842339,3.062812671,
1,0.048440836,0.022904143,0.011181686,2.730044751,1.59818307,5.243166592,3.059351066,5.898805385,3.059351066,
0,0.048740683,0.02291809,0.01118737,2.341999891,1.356552911,4.689233075,2.688023279,5.886359101,2.688023279,
1,0.049953551,0.022987304,0.011236997,2.616106416,1.30893726,5.230763875,2.91937192,5.955725563,2.91937192,
0,0.050126304,0.023074618,0.01127088,2.390100902,1.421820843,5.263159586,3.168386541,6.02074853,3.168386541,
1,0.050175836,0.023169318,0.011290438,2.599706768,1.443621615,5.127403821,2.933529968,5.982207002,2.933529968,
0,0.050180357,0.023197784,0.011290811,1.977190798,0.83335247,4.60575679,2.618068551,5.508557466,2.618068551,
1,0.050691406,0.02326097,0.011321063,2.748955652,1.635388854,4.460479368,2.643920739,5.347882842,2.643920739,
0,0.051056446,0.023381446,0.011348098,2.109901851,0.892113098,4.484552038,2.5577451,5.420124738,2.5577451,
1,0.051522726,0.023414946,0.011351632,2.082639817,1.063181086,5.023221874,2.802713715,5.459547517,2.802713715,
0,0.051828667,0.023491669,0.011403673,1.997149047,0.843491607,4.792717277,2.848704875,5.451136971,2.848704875,
1,0.0547236,0.023535058,0.011438358,2.689715874,1.152218633,4.805526026,2.593017897,5.500338685,2.593017897,
0,0.055183886,0.023602209,0.011467767,2.489794486,1.133705743,5.2547414,2.831104096,5.361774944,2.831104096,
1,0.055370265,0.023675387,0.011507451,2.530807035,0.937624609,5.157714603,3.095200579,5.792163098,3.095200579,
0,0.056313145,0.023696801,0.011510852,2.59149749,1.517255836,4.779435165,2.932432208,5.708549507,2.932432208,
1,0.057244848,0.02370831,0.011515779,2.365880768,0.868969364,4.768759177,2.82919647,5.734403223,2.82919647,
0,0.057818415,0.023727164,0.011522349,2.193434054,1.2964101,5.398169533,3.200970724,5.860088652,3.200970724,
1,0.05830849,0.023789904,0.01156248,2.397031105,1.472140888,4.920228809,2.726203627,5.734057802,2.726203627,
0,0.058447188,0.023836752,0.011600051,2.264992279,1.285443216,4.942054099,2.632588302,5.181226266,2.632588302,
1,0.059085352,0.023899508,0.011632644,2.149534273,1.013528394,4.858465514,3.024999599,5.560429801,3.024999599,
0,0.05966859,0.02393349,0.011651813,2.921005164,1.326959253,4.645541516,2.516078462,5.197012329,2.516078462,
1,0.060066766,0.023963547,0.011657091,1.968282624,1.141147869,5.172391248,2.97995415,5.600808126,2.97995415,
0,0.061105754,0.02402646,0.011672378,2.713225847,1.368212569,4.320569726,2.482308271,5.495597498,2.482308271,
1,0.061238035,0.024069514,0.01168299,2.625286618,1.631380703,4.70701869,2.727341784,6.00654794,2.727341784,
0,0.062645838,0.024175245,0.011704309,2.700033603,1.539662299,5.524945269,3.0749597,6.206953836,3.0749597,
1,0.063970017,0.024199864,0.01171412,2.908565217,1.506163591,4.73663765,2.719560439,5.45912445,2.719560439,
0,0.064044194,0.02422051,0.011715508,2.181708148,1.064979965,5.039394476,3.214940369,6.44888284,3.214940369,
1,0.064075689,0.024243133,0.011729354,2.941374565,1.400941186,4.471904258,2.805039284,5.979009619,2.805039284,
0,0.06429315,0.024278508,0.011761853,2.366494019,1.46091219,5.473208282,3.087541299,6.30009919,3.087541299,
1,0.06768782,0.024356839,0.011805458,2.601329037,1.441477174,5.246574085,3.270689009,6.542172451,3.270689009,
0,0.068351992,0.024371924,0.01181771,2.477382632,1.331986202,5.533991054,3.076738152,6.31178742,3.076738152,
1,0.068567798,0.024457672,0.011870496,2.874745273,1.408861819,5.31184953,3.162862325,6.162630647,3.162862325,
0,0.070282246,0.024501646,0.011873377,2.184820365,0.831728258,4.577546753,2.891259323,5.954001707,2.891259323,
1,0.07033704,0.024541025,0.011899267,2.22864443,1.098842579,4.725626108,2.761401939,5.803671178,2.761401939,
0,0.07213926,0.024573494,0.011926648,2.823791011,1.264861454,5.453158345,2.985495148,6.154667353,2.985495148,
1,0.072420759,0.024591701,0.011944705,2.564813532,1.492232641,4.209356498,2.534767312,5.68004058,2.534767312,
0,0.072687328,0.024784157,0.012047709,2.226159682,0.873832537,5.376747846,3.190508241,6.13931922,3.190508241,
1,0.072822856,0.02483301,0.012055468,2.057840957,0.878932541,5.09672693,2.958672068,6.107594188,2.958672068,
0,0.073710404,0.024885668,0.012070272,1.941099192,0.877879617,5.161251247,2.901799054,5.941154692,2.901799054,
1,0.074380894,0.024955492,0.012083677,2.855567067,1.424155925,5.029210134,3.09665467,6.159472543,3.09665467,
0,0.074540532,0.024981774,0.012085515,1.919300305,0.990087445,4.979570084,2.596017336,5.720614973,2.596017336,
1,0.074602627,0.025059886,0.012111884,2.79184634,1.292745657,5.556444486,3.190611375,6.179932473,3.190611375,
0,0.075183046,0.025109154,0.012145242,1.991903243,0.998937638,5.29739048,2.872113667,6.090008785,2.872113667,
1,0.076886815,0.025189812,0.012157347,2.622157386,1.559441284,5.701747336,3.264681821,6.449148931,3.264681821,
0,0.077243924,0.025214865,0.012160088,2.073999705,0.965554972,4.846480288,2.681818331,5.30858021,2.681818331,
1,0.078757247,0.025232334,0.012165969,2.984202829,1.3985306,4.526087119,2.57155365,5.732719134,2.57155365,
0,0.079512804,0.025276401,0.012200701,2.442445238,1.125855839,4.920129285,2.573435377,5.847151207,2.573435377,
1,0.080124219,0.025334814,0.012215911,3.099654666,1.461043147,5.706074916,3.238809033,6.149409992,3.238809033,
0,0.083515403,0.025380769,0.012223023,2.009738255,0.908728133,5.218412944,2.955363378,5.615951608,2.955363378,
1,0.084666093,0.025406789,0.012223845,2.870598049,1.479357352,5.001968944,2.961918636,5.72889426,2.961918636,
0,0.084850325,0.025455826,0.012252074,2.036616082,0.898997243,5.409966718,3.149122607,5.719849677,3.149122607,
1,0.085165894,0.025501329,0.012273387,2.397626367,0.848318995,5.444518631,3.267886388,6.429545042,3.267886388,
0,0.085472229,0.025525363,0.012286765,1.805204676,0.83567656,4.780876678,2.666724908,5.258939074,2.666724908,
1,0.086150481,0.025580327,0.012305149,2.522491131,1.330217138,4.893759061,2.488865435,5.177319889,2.488865435,
0,0.0865866,0.025595831,0.0123087,2.44754252,0.869037105,5.033435754,2.846663959,5.729599678,2.846663959,
1,0.087027068,0.025658131,0.012357967,2.878874499,1.479266228,5.013123281,2.647548273,5.468866763,2.647548273,
0,0.087256162,0.025726045,0.012367394,2.767766045,1.615269758,4.599077414,2.518034061,5.271129965,2.518034061,
1,0.087438551,0.025758562,0.012377037,2.675252751,1.618463566,5.185929314,3.17675815,6.322462167,3.17675815,
0,0.08777516,0.025778502,0.012383924,2.450888618,1.228630966,5.424266187,3.196367589,6.279059657,3.196367589,
1,0.091114402,0.02582169,0.012388929,2.602644941,1.601435615,4.782531856,2.520074515,5.700248937,2.520074515,
0,0.091954182,0.025829812,0.012392381,3.052715019,1.478998436,4.472232084,2.598289512,5.52645631,2.598289512,
1,0.092612075,0.025855233,0.012397994,2.465818671,1.378627646,5.0140361,2.832202017,6.030118204,2.832202017,
0,0.092871241,0.025880855,0.012416927,2.187434563,1.34857583,4.867691017,3.053017316,5.99701682,3.053017316,
1,0.094127388,0.025911566,0.012417885,2.265941071,1.00740943,4.526954212,2.612113246,5.755436159,2.612113246,
0,0.094448158,0.025976704,0.012479788,1.988586303,0.87885571,4.747116072,2.630381439,5.627798581,2.630381439,
1,0.09456691,0.026007303,0.012493221,2.514246471,1.176274379,5.412780957,3.267153186,5.951405845,3.267153186,
0,0.096891584,0.02607224,0.012526756,2.234134919,0.883350043,4.709286949,2.974107399,5.670807114,2.974107399,
1,0.096989438,0.026107393,0.012554079,2.476344087,1.415121441,5.091297686,3.035441056,5.913633926,3.035441056,
0,0.097548429,0.026201351,0.012632961,2.181651722,0.958043457,4.824848274,2.675304262,5.275092976,2.675304262,
1,0.100523626,0.026216082,0.012638941,2.158066403,0.984602833,5.117248426,2.977087387,6.003952879,2.977087387,
0,0.102478452,0.026239642,0.012658552,2.039338384,0.90480261,4.898085158,2.669021897,5.275457381,2.669021897,
1,0.10251526,0.026307044,0.012722932,2.572145971,0.96502734,4.972838706,2.971306908,6.006301427,2.971306908,
0,0.103292246,0.026314808,0.012729364,2.740119404,1.32563672,5.511074471,3.263681774,6.505279174,3.263681774,
1,0.105915322,0.026331515,0.012743901,2.586747912,1.342899361,4.701065086,2.771037653,5.559575875,2.771037653,
0,0.106128082,0.026353141,0.012758118,1.940962923,0.954258678,4.568778536,2.732711893,5.469309708,2.732711893,
1,0.107297226,0.026461923,0.012797571,2.360106149,1.014256812,5.314820216,2.959414995,5.779387755,2.959414995,
0,0.108082432,0.026503136,0.012808029,2.523066751,1.185579907,4.866654837,2.54146997,5.516279988,2.54146997,
1,0.110626617,0.026539983,0.012839786,2.239110447,1.091834194,4.849935506,3.017243623,6.301075974,3.017243623,
0,0.111845639,0.026562819,0.012850422,2.546205627,1.102237239,4.504917579,2.516293648,5.646024787,2.516293648,
1,0.112054652,0.02659004,0.012873243,3.037044994,1.527288203,5.002043949,2.737014291,5.819163945,2.737014291,
0,0.1121412,0.026611266,0.012883649,2.301510761,1.001888064,4.958202081,2.703252258,5.225413565,2.703252258,
1,0.112202083,0.026670057,0.012917645,1.961190236,0.905206175,5.673815242,3.237112743,6.00955603,3.237112743,
0,0.112327111,0.026740671,0.01295028,2.342462949,1.067755794,4.321210385,2.547397271,5.736065271,2.547397271,
1,0.113176838,0.026790042,0.012951308,2.005767716,0.910468233,4.877581478,2.920504326,6.134867502,2.920504326,
0,0.113193723,0.026805381,0.012953247,2.294063532,1.215593639,4.53863763,2.505394163,5.242519995,2.505394163,
1,0.114493851,0.026867618,0.012966665,3.150848119,1.551269633,5.109460091,2.653979677,5.473591268,2.653979677,
0,0.115298521,0.026878477,0.012969914,2.602289255,0.984847063,4.762742805,2.735807286,5.633077562,2.735807286,
1,0.116337608,0.02688795,0.012975246,2.775464313,1.542445151,4.985138473,2.682479907,5.982205205,2.682479907,
0,0.118361733,0.026927541,0.013000073,2.752117147,1.530843742,4.761749802,2.864975681,5.989848987,2.864975681,
1,0.118420723,0.026949855,0.01301996,2.602721037,1.392820621,5.136250074,2.985994833,5.96009746,2.985994833,
0,0.119619984,0.027069828,0.013021833,1.903331733,0.858002053,4.420740145,2.643488927,5.481110298,2.643488927,
1,0.120873703,0.027124188,0.013059793,2.638716112,1.170536077,4.901044337,3.052013607,5.804570187,3.052013607,
0,0.12093497,0.027179749,0.013059947,2.455678454,0.910557826,5.047370601,3.221822454,6.088231255,3.221822454,
1,0.121930344,0.027193501,0.013062959,3.027299157,1.535608048,5.395177345,2.987590645,5.654197392,2.987590645,
0,0.122457071,0.027232114,0.013072834,2.229309402,1.089864852,5.686887348,3.244807943,5.915032923,3.244807943,
1,0.123495124,0.027264606,0.013073054,2.605144437,1.081204436,4.76045886,2.912448737,5.764448182,2.912448737,
0,0.125614551,0.027337597,0.013135192,2.356951697,1.031243698,4.655496066,2.932503464,5.821609766,2.932503464,
1,0.126886664,0.027410812,0.013193602,2.401433846,1.125556085,4.558056845,2.663535316,5.687211584,2.663535316,
0,0.127534481,0.02745464,0.013230762,2.97302519,1.603077818,5.261043916,3.251723542,6.180789186,3.251723542,
1,0.127788707,0.027487347,0.013232231,2.535127139,1.183357108,4.782503561,2.692515483,5.377569902,2.692515483,
0,0.12879785,0.027528981,0.013248777,2.630747394,1.167186589,4.410293967,2.534833892,5.471232359,2.534833892,
1,0.129419235,0.027673892,0.01328781,1.923701949,0.895662384,4.722397118,2.922788885,5.839747124,2.922788885,
0,0.130057859,0.027718418,0.013324141,2.447973108,1.098705852,4.462060195,2.690776863,5.289856999,2.690776863,
1,0.131523943,0.027731132,0.013334398,2.187189235,1.194371716,4.957127476,3.102792751,6.131133789,3.102792751,
0,0.131725033,0.027761728,0.01336113,1.859266361,0.892165555,4.579903237,2.576979569,5.223479846,2.576979569,
1,0.132894272,0.027813036,0.01339488,2.354496674,1.131892927,4.271360294,2.495706575,5.287964429,2.495706575,
0,0.134011884,0.02791717,0.013415163,2.276534323,1.371155796,4.975986562,2.668578729,5.696668617,2.668578729,
1,0.134310456,0.027955954,0.013430957,2.501428533,1.402928132,4.985298987,3.179950835,6.062390357,3.179950835,
0,0.135425808,0.027999064,0.013470231,2.25749468,1.161145211,4.333224382,2.580195754,5.685226125,2.580195754,
1,0.135739335,0.028057552,0.013479581,2.237770692,1.191959291,5.027897927,2.934769485,5.45590424,2.934769485,
0,0.135982011,0.0280923,0.013490577,2.225492106,1.217960502,4.789078772,2.513641812,5.742848327,2.513641812,
1,0.136098239,0.028125955,0.013519087,2.978076017,1.644691077,5.65730643,3.214418096,5.866668408,3.214418096,
0,0.136175759,0.028273962,0.013595003,2.145134705,0.955248683,4.724200927,2.619951555,5.692625528,2.619951555,
1,0.13739884,0.02828991,0.01360132,2.188074714,0.984338072,5.618097841,3.184414345,5.773340299,3.184414345,
0,0.138330081,0.028345179,0.013614462,2.060391141,1.151746939,4.859270044,2.792274496,6.069029925,2.792274496,
1,0.140789005,0.028360336,0.01361994,2.288503338,1.103515357,5.163521262,2.734493251,5.418157845,2.734493251,
0,0.141274513,0.028404664,0.01363529,2.049803445,1.135342161,5.07659223,2.640801512,5.17338709,2.640801512,
1,0.141391607,0.028471231,0.013652625,1.897410776,0.841584025,5.497338013,3.073719235,5.930762968,3.073719235,
0,0.141424051,0.028517038,0.013679135,1.996735427,1.033747368,5.573962202,3.160076447,6.353400998,3.160076447,
1,0.141618733,0.028569543,0.013696361,2.440669354,1.247882393,5.338816702,2.981577343,5.841451604,2.981577343,
0,0.142073741,0.028579932,0.01370487,2.477386928,1.284656806,5.160324602,2.743532259,5.476166129,2.743532259,
1,0.142415759,0.028642484,0.013730924,2.511211517,1.265564501,4.890520369,3.014399258,5.981868127,3.014399258,
0,0.14375311,0.028657947,0.01373944,2.69317977,1.584618633,4.876794626,2.982467759,5.822685487,2.982467759,
1,0.143903125,0.028714549,0.013742208,2.343480633,1.510454295,5.18472748,3.263613028,6.118479746,3.263613028,
0,0.144351989,0.028824249,0.013809858,2.302618419,0.996894027,4.192672088,2.496707043,5.200814478,2.496707043,
1,0.144849787,0.028888572,0.013850553,2.68172154,1.406537348,4.959217766,2.496020673,5.43306828,2.496020673,
0,0.145405141,0.028910243,0.013870717,2.252845147,1.310126837,5.328825832,2.984598568,5.849208905,2.984598568,
1,0.145927017,0.028934886,0.013878611,2.657223338,1.24919585,5.597899582,3.256511564,6.516664438,3.256511564,
0,0.146071153,0.028972262,0.013892257,2.995534936,1.61846032,5.242770462,2.858016782,5.851976936,2.858016782,
1,0.14661565,0.029099533,0.013920801,2.390331029,0.888081135,5.05513021,3.291522306,6.069682826,3.291522306,
0,0.147004094,0.029118628,0.013934168,2.34119331,1.468504794,4.23199107,2.550880842,5.044053699,2.550880842,
1,0.147615,0.029120959,0.013936028,2.365051934,0.958570564,4.469809103,2.557104778,5.83057834,2.557104778,
0,0.147991577,0.029186185,0.013963021,2.847592394,1.40946159,5.350321182,2.886317285,5.752301803,2.886317285,
1,0.148011826,0.02919272,0.013969514,2.000712087,0.887232692,4.52577378,2.50569721,5.432776026,2.50569721,
0,0.148105348,0.029222485,0.013975776,1.83637106,0.85242322,4.591702103,2.510099708,5.433449422,2.510099708,
1,0.151392497,0.029269904,0.01397815,2.719832352,1.565542716,5.214046953,3.061922889,5.97423267,3.061922889,
0,0.152065915,0.029289758,0.013990453,2.543475091,1.481546856,4.975123665,2.505471819,5.217431989,2.505471819,
1,0.154698271,0.029317797,0.014002704,2.767685949,1.474351836,4.939876587,2.564184691,5.331433372,2.564184691,
0,0.155023155,0.029405866,0.014034406,2.270166926,1.114731946,5.327262195,3.047822831,6.347582268,3.047822831,
1,0.15512558,0.029461381,0.014037025,2.428088054,0.991615931,4.265988245,2.612527096,5.652596351,2.612527096,
0,0.155189619,0.029563246,0.014042528,2.124165503,1.192156708,5.148783321,2.856814094,5.562832382,2.856814094,
1,0.155545856,0.02961742,0.014081414,2.434690433,1.151259834,4.349758647,2.636232521,5.342369477,2.636232521,
0,0.155955092,0.029712963,0.01417675,2.514322652,0.918459783,5.010560276,3.220223741,6.33570616,3.220223741,
1,0.156997464,0.02983331,0.014212077,2.319270629,0.921066694,4.790111689,2.724597756,5.582026325,2.724597756,
0,0.157301114,0.029859285,0.014231772,2.791843401,1.547570331,4.864109081,2.549760681,5.100235765,2.549760681,
1,0.157924246,0.029876386,0.014233433,2.41667787,1.521184709,4.65228086,2.875690278,5.700028829,2.875690278,
0,0.158008646,0.029902722,0.014259753,2.48667584,1.465248979,5.213181006,3.023468928,5.858326728,3.023468928,
1,0.158108639,0.029949479,0.014298981,2.898776301,1.554456862,4.494842053,2.745366038,6.02904017,2.745366038,
0,0.158130126,0.029978905,0.014311033,2.637321525,1.305444977,4.764452363,2.645569072,5.383939188,2.645569072,
1,0.158840054,0.030057496,0.014365855,2.777210054,1.642643714,5.04826287,3.201001997,6.383801474,3.201001997,
0,0.159366797,0.030104069,0.01440894,2.911851592,1.543091871,4.494309073,2.505299815,5.375870615,2.505299815,
1,0.159943032,0.03013888,0.014431285,2.834878315,1.209326136,5.135633127,3.229006216,6.462137533,3.229006216,
0,0.16019802,0.03017949,0.014435334,2.687082095,1.415328528,5.099441201,2.667835084,5.367855143,2.667835084,
1,0.161708626,0.030191586,0.01443661,2.449871093,0.986665554,5.183143067,3.012591432,5.611390004,3.012591432,
0,0.162414307,0.030229579,0.014437159,2.183318616,1.283039447,5.318900977,3.068263866,6.33988107,3.068263866,
1,0.163545985,0.030336915,0.014479085,2.326643769,1.288622925,5.016343638,2.600180186,5.429367993,2.600180186,
0,0.164201653,0.030438393,0.014491697,1.94142378,0.9885744,4.824353185,2.514085872,5.243745182,2.514085872,
1,0.16484631,0.030500343,0.014547892,3.157130768,1.577651114,5.019072941,2.642094116,5.3297847,2.642094116,
0,0.165445707,0.030511647,0.014557862,2.495915693,1.443579154,4.884169139,2.967703288,6.036396112,2.967703288,
1,0.167145048,0.030572363,0.014565831,2.060987509,0.948855343,5.203879239,2.980195087,5.759752247,2.980195087,
0,0.167628068,0.030637883,0.014589958,2.160409512,0.879018284,4.658849641,2.512908348,5.189905167,2.512908348,
1,0.169315744,0.030662608,0.014604686,2.834417737,1.233825949,5.716306015,3.244576378,6.417557843,3.244576378,
0,0.170119885,0.030743085,0.014666198,2.76347291,1.310668872,5.28068712,3.195766159,6.483317227,3.195766159,
1,0.170557225,0.030774155,0.01468884,2.527427721,1.347889283,4.473497508,2.559042107,5.45448517,2.559042107,
0,0.171359115,0.030822144,0.014703275,2.126635131,1.299759044,5.095711148,3.060248732,6.12508249,3.060248732,
1,0.17157398,0.030972034,0.014783626,2.728511146,1.404502076,5.322369314,3.055964027,5.711358049,3.055964027,
0,0.175224129,0.030999819,0.014804242,2.722230633,1.102828189,5.350230838,3.016846503,5.862800366,3.016846503,
1,0.17641521,0.031044138,0.014813394,2.151955794,0.950243689,4.622487978,2.763064421,5.978621019,2.763064421,
0,0.178650012,0.031116403,0.01488283,2.250921863,1.088073179,4.204698374,2.496990439,5.416211025,2.496990439,
1,0.182433155,0.031216513,0.014913553,3.120690482,1.522466943,4.948854338,2.959588189,5.718779669,2.959588189,
0,0.183485998,0.031258892,0.014916706,1.811952526,0.954276458,5.140872771,2.735938269,5.223467961,2.735938269,
1,0.183898647,0.031275722,0.01491807,2.864388438,1.221148164,4.565812866,2.881705353,5.649370397,2.881705353,
0,0.184520133,0.031279552,0.014920567,2.699086658,1.487518714,5.467568553,3.014037248,6.182117393,3.014037248,
1,0.184520645,0.031303966,0.014943963,2.994383884,1.529415809,4.904280543,2.609467939,5.507393324,2.609467939,
0,0.18621059,0.031353053,0.014956967,2.143386778,1.048274028,5.363210855,3.250576478,5.914972007,3.250576478,
1,0.18701348,0.031456318,0.015002765,2.595864776,1.621502116,4.370984935,2.565751045,5.654814646,2.565751045,
0,0.187237387,0.031470945,0.015005738,2.953662259,1.480611449,4.746979224,2.68182278,5.558912348,2.68182278,
1,0.188623116,0.031534049,0.015015805,2.307811796,0.919200053,4.854287251,2.618658341,5.19851333,2.618658341,
